trial_id,genome_length,win_rate,num_games,num_solved,avg_guesses_solved,median_guesses_solved,avg_target_abs,mean_runtime_sec,total_runtime_sec,score,evo_pop_size,evo_genome_length,evo_generations_per_guess,evo_tournament_size,evo_crossover_rate,evo_mutation_rate,evo_elite_fraction,evo_mid_fraction,fit_error_tolerance,fit_value_weight,fit_green_bonus,fit_low_gray_bonus,fit_diversity_bonus_per_symbol,fit_diversity_min_symbols
24,30,0.15,20,3,1.3333333333333333,1.0,61296.49896428571,4.432416714999991,88.64833429999982,11.0,527,20,16,4,0.503414006903847,0.2566484788734985,0.10486151676827699,0.2505738293517892,55.73416036018916,0.9748000773457581,9.961069966538435,0.19452958889950978,1.816651308668519,3
19,26,0.25,20,5,2.2,2.0,103868.03066666666,9.338050610000002,186.76101220000004,18.4,1029,20,19,4,0.6125531751824491,0.28640747581880355,0.12900952906385335,0.42348300131584404,16.049353480791158,1.353048115985192,4.6057033160408505,0.5499603462503769,1.3165999202308472,4
8,26,0.15,20,3,1.0,1.0,104575.6161895987,16.218620610000006,324.3724122000001,12.0,716,20,45,5,0.46109918364706143,0.019250016290666166,0.04334178610805369,0.3125341268226356,80.39139246701369,0.7482311974416849,7.386231666365398,1.0964176640694292,1.2235210699999444,6
17,16,0.2,20,4,1.0,1.0,87710.17553751802,12.739053029999997,254.78106059999993,17.0,711,20,39,4,0.7087154780650484,0.2928862032219813,0.0391959147255979,0.16247060268124983,78.17721972843479,0.9086528014468478,4.10810255818963,3.070726847049698,2.05560577409576,5
30,25,0.15,20,3,2.3333333333333335,1.0,144260.8089721404,4.462190980000008,89.24381960000017,8.0,875,20,10,3,0.9329838725643633,0.03336039732287741,0.05643361346275523,0.31003644191860713,10.55098841429213,1.4424621837274665,10.37698045099899,4.4424854208262525,1.1006278132140812,5
27,24,0.35,20,7,1.2857142857142858,1.0,116761.57212885152,6.754641030000005,135.0928206000001,31.142857142857142,468,20,39,5,0.825354650491581,0.09246522342593104,0.12021494272159622,0.32982267175340196,83.19006012161744,1.6602540868695446,2.8071784338950945,3.919252666996507,2.1677653296145025,4
28,14,0.2,20,4,1.0,1.0,14917.991661827331,7.256737900000002,145.13475800000003,17.0,943,20,16,5,0.8956848690658687,0.1826564031140096,0.07378800645868143,0.15758665731854596,95.82154811903233,1.608396650434452,6.981383099687417,4.118751572254346,1.444578638028972,5
21,17,0.3,20,6,1.5,1.0,55548.89611111111,12.653888084999997,253.07776169999994,25.5,676,20,44,3,0.4595072104915833,0.23149084827600427,0.051853867299078246,0.4797440361291686,12.262629765666476,1.886269401443156,15.72977793351678,2.026051555324693,1.963010555273708,4
15,21,0.25,20,5,1.0,1.0,43512.23815018315,19.809655889999995,396.19311779999987,22.0,909,20,50,6,0.4444006324769851,0.19935404300489795,0.104106194959807,0.3214010924761653,49.53364906399361,1.7517174082619968,5.422925428497486,2.1442854548202246,1.9263782648283885,6
37,14,0.45,20,9,1.8888888888888888,1.0,114145.75416666668,3.984849724999981,79.69699449999962,39.333333333333336,467,20,23,3,0.5987350938677906,0.13178639528150976,0.05172705640477765,0.18754269770487106,54.87749705229894,1.1111695029651723,18.331326337802025,3.09123353645477,0.5653238673856789,6
31,13,0.35,20,7,1.0,1.0,44305.03781746032,12.416967645,248.3393529,32.0,1415,20,23,3,0.9251157452082857,0.15857465605836535,0.10773936945764463,0.34657779237039565,70.91971279157286,1.4683059270110446,4.690499325911164,3.3879020806861964,2.9052852436084358,6
32,27,0.15,20,3,1.3333333333333333,1.0,129209.24212100523,13.79198792999999,275.8397585999998,11.0,595,20,50,2,0.4106999648165849,0.15263240690682123,0.12449461399065645,0.14864789130381426,81.15207691554488,0.6147202866907882,15.415366658446091,2.1017936416291008,2.4787809504610134,5
29,30,0.5,20,10,1.0,1.0,186532.59979288274,14.797794099999999,295.955882,47.0,925,20,49,6,0.47701052619912965,0.15643853180252537,0.022640390559819618,0.47815804447725885,91.60402781874139,1.7005265298511691,4.865672417061809,1.403781275260392,0.14575050444048465,3
35,30,0.2,20,4,1.75,1.0,107569.55833333335,13.20573336499999,264.1146672999998,14.75,610,20,46,6,0.8413767558103151,0.06271025990260226,0.06480924805204763,0.4185240709726462,75.92753195884661,0.5157562846085786,19.88107162475247,0.809710744426571,2.9799790708013685,4
36,29,0.15,20,3,1.0,1.0,95347.77142857143,11.80004946999999,236.0009893999998,12.0,1037,20,23,5,0.4441225077091686,0.03283434665310654,0.06395615000669334,0.1846078128753432,74.14146197583328,1.259858198133209,15.458966920967804,0.9894072106204328,0.7697652602230287,3
34,25,0.1,20,2,1.0,1.0,106411.18913641362,14.287648835000002,285.75297670000003,7.0,678,20,43,5,0.48226195770679325,0.24800573835142536,0.10605797052716583,0.16874863300123116,67.05976377286228,1.939476658153004,19.434724819426435,1.1857489042254428,2.1757909674353915,3
42,15,0.4,20,8,1.25,1.0,90399.27711485422,7.289310020000022,145.78620040000044,36.25,482,20,42,2,0.7823416217063424,0.17087604366078568,0.08079117897180434,0.3587800319030794,72.84198077630901,0.988635343185452,19.40975983791622,3.3966733260009265,2.5070940519396414,6
23,16,0.25,20,5,1.8,1.0,210044.7111111111,23.07584589500001,461.51691790000024,19.6,1187,20,45,2,0.5166934180176759,0.15594938378059955,0.14408315156313306,0.33881466928444737,11.966752111288969,0.6397571303299188,10.719840527758302,0.23985099282470493,2.422191004230104,4
43,24,0.3,20,6,1.5,1.0,189555.18898100834,5.305825365000004,106.11650730000008,25.5,993,20,12,5,0.5570099969695613,0.17578905801956005,0.09304180972167848,0.4094053177457172,99.38969659683661,1.6839528068095773,2.639053958690745,2.8208777237224942,2.186351761681836,5
45,29,0.05,20,1,2.0,2.0,48613.414673913045,3.8179006749999926,76.35801349999986,-1.0,465,20,15,6,0.7270413130383722,0.09431652994116922,0.07449038195316045,0.218396891075817,12.083960937308191,1.0408340267238765,5.291001571067971,2.5965724832910313,2.9922662182742696,4
25,12,0.2,20,4,1.25,1.0,81157.26985626102,22.697222615000015,453.9444523000003,16.25,1128,20,43,2,0.474322993222677,0.27252201840152823,0.08206927953929707,0.1362493245221295,93.83529308122247,1.5055885632237342,16.12960315095574,4.29947493326302,0.7215407251339383,4
47,25,0.05,20,1,1.0,1.0,19528.037334656085,4.357718649999993,87.15437299999985,2.0,485,20,17,6,0.4630377073505044,0.13179188128298483,0.05008778431750091,0.361311238444871,59.11313108509869,0.6576797813106157,6.380246896672274,2.2783697986565676,1.7199414202602468,3
46,18,0.0,20,0,7,7.0,37732.06132774036,5.692466494999979,113.84932989999959,-21.0,313,20,34,3,0.834663695142351,0.22136418769145877,0.017005036306043282,0.4161133383606067,61.01577434357986,1.0864853279271025,18.708252820975833,1.133354879265884,2.5424257309672296,4
41,10,0.1,20,2,1.0,1.0,156545.68412659667,13.202881774999998,264.05763549999995,7.0,799,20,34,2,0.3985037800942962,0.1307054241976513,0.08419678264974052,0.2324832316461671,86.05199904496165,0.7382553147166362,18.180678873468914,2.3284037841808862,1.168435110594364,5
38,29,0.3,20,6,1.0,1.0,88490.903125,16.34251457,326.85029139999995,27.0,1444,20,27,4,0.9764237618293973,0.21095923005361605,0.07543869270162067,0.28222325311232643,97.49267930868187,1.9367608576895272,15.252251576770952,0.7768111526095948,1.4790701396384818,3
