run_id,game_id,guess_index,generation_index,gen_runtime_s,fitness_mean,fitness_max,fitness_min,fitness_std
run_20251212_220235_unconstrained_grammar,15,3,17,0.47507450002012774,-32.09535079242368,-21.17125921419337,-53.25647794216195,15.490173175542264
run_20251212_220235_unconstrained_grammar,15,3,18,0.4957607999967877,-33.20306751954392,-21.17125921419337,-53.25647794216195,15.737428285525832
run_20251212_220235_unconstrained_grammar,15,3,19,0.4571626999822911,-28.523964859624186,-21.17125921419337,-53.25647794216195,13.605834962768343
run_20251212_220235_unconstrained_grammar,15,3,20,0.4254607000038959,-29.99450598871035,-21.17125921419337,-53.25647794216195,14.521891003558974
run_20251212_220235_unconstrained_grammar,15,3,21,0.42590390000259504,-28.37383275434014,-21.17125921419337,-53.25647794216195,13.487108778337047
run_20251212_220235_unconstrained_grammar,15,3,22,0.42134270002134144,-26.503825176220666,-21.17125921419337,-53.25647794216195,11.87504888501751
run_20251212_220235_unconstrained_grammar,15,3,23,0.41143609999562614,-29.526549455008887,-21.17125921419337,-53.25647794216195,14.311304972608305
run_20251212_220235_unconstrained_grammar,15,3,24,0.45876889998908155,-27.369283228904063,-21.17125921419337,-53.25647794216195,12.800963522057307
run_20251212_220235_unconstrained_grammar,15,3,25,0.4328694000141695,-26.163823798380765,-21.17125921419337,-53.25647794216195,11.479884758133979
run_20251212_220235_unconstrained_grammar,15,3,26,0.442334799998207,-26.629088841740632,-21.17125921419337,-53.25647794216195,11.84782007102402
run_20251212_220235_unconstrained_grammar,15,3,27,0.4163801000104286,-26.65922287712319,-21.17125921419337,-53.25647794216195,11.833887217094896
run_20251212_220235_unconstrained_grammar,15,3,28,0.4393988999945577,-26.836877153448484,-20.59871254192474,-53.25647794216195,12.161974054556273
run_20251212_220235_unconstrained_grammar,15,3,29,0.4721321999968495,-26.568820770975513,-20.59871254192474,-53.25647794216195,11.876928063439255
run_20251212_220235_unconstrained_grammar,15,3,30,0.44332289998419583,-25.39661655729018,-20.59871254192474,-53.25647794216195,10.880829270935754
run_20251212_220235_unconstrained_grammar,15,3,31,0.41814990001148544,-26.000239034875438,-20.59871254192474,-53.25647794216195,11.552816352130879
run_20251212_220235_unconstrained_grammar,15,3,32,0.4242913000052795,-27.33037439375464,-20.59871254192474,-53.25647794216195,12.868698621794234
run_20251212_220235_unconstrained_grammar,15,3,33,0.4317469999950845,-29.30707323063924,-20.59871254192474,-53.25647794216195,14.193049867354643
run_20251212_220235_unconstrained_grammar,15,3,34,0.4412830999935977,-29.264132230219094,-20.59871254192474,-53.25647794216195,14.157214265746646
run_20251212_220235_unconstrained_grammar,15,4,0,0.42412270000204444,-34.78981688158536,-20.59871254192474,-53.25647794216195,15.858673443273226
run_20251212_220235_unconstrained_grammar,15,4,1,0.4223080000083428,-32.381121960640584,-20.59871254192474,-53.25647794216195,15.379693275821333
run_20251212_220235_unconstrained_grammar,15,4,2,0.40946580001036637,-33.64884427507005,-20.59871254192474,-53.25647794216195,15.831424333445002
run_20251212_220235_unconstrained_grammar,15,4,3,0.43810430000303313,-31.438529207143315,-20.59871254192474,-53.25647794216195,15.031171751295979
run_20251212_220235_unconstrained_grammar,15,4,4,0.407590299990261,-30.04209702440086,-20.59871254192474,-53.25647794216195,14.317090072436862
run_20251212_220235_unconstrained_grammar,15,4,5,0.4567309000121895,-27.70281229424081,-20.59871254192474,-53.25647794216195,12.870301889232612
run_20251212_220235_unconstrained_grammar,15,4,6,0.43377780000446364,-28.91965351557039,-20.59871254192474,-53.25647794216195,13.749334582594868
run_20251212_220235_unconstrained_grammar,15,4,7,0.45466940000187606,-29.364327897866104,-20.59871254192474,-53.25647794216195,14.021095742255898
run_20251212_220235_unconstrained_grammar,15,4,8,0.4296113000018522,-28.567453774598707,-20.59871254192474,-53.25647794216195,13.583837089384897
run_20251212_220235_unconstrained_grammar,15,4,9,0.42512689999421127,-28.24588009805935,-20.59871254192474,-53.25647794216195,13.360828948133324
run_20251212_220235_unconstrained_grammar,15,4,10,0.404096300015226,-26.880880375926495,-20.59871254192474,-53.25647794216195,12.151807782769948
run_20251212_220235_unconstrained_grammar,15,4,11,0.41550719999941066,-28.470951278858575,-20.59871254192474,-53.25647794216195,13.348987565007427
run_20251212_220235_unconstrained_grammar,15,4,12,0.43117150000762194,-29.070943351454858,-20.59871254192474,-53.25647794216195,13.651260214818473
